,Restaurant Name,Address,Category,Rating,Number of Reviews,Price($),Price(1-5),Latitude,Longitude,coordinates,Distance
0,Pai Northern Thai Kitchen,18 Duncan Street,Thai,4.5,3335,$$,2,43.64784,-79.38872,"43.64784,-79.38872",1485
1,Richmond Station,1 Richmond Street W,Canadian (New),4.5,869,$$$,3,43.6513729,-79.379285,"43.6513729,-79.379285",2001
2,Mira,420A Wellington Street W,Peruvian,4.5,256,$$,2,43.64417,-79.39639,"43.64417,-79.39639",1204
3,Rasa,196 Robert Street,Canadian (New),4.5,317,$$,2,43.6627752,-79.4039682,"43.6627752,-79.4039682",3423
4,KINKA IZAKAYA ORIGINAL,398 Church Street,Japanese,4.0,1790,$$,2,43.66042406856627,-79.37890046282942,"43.66042406856627,-79.37890046282942",3581
5,Katsuya,66 Gerrard Street E,Japanese,4.5,478,$$,2,43.65995,-79.37882,"43.65995,-79.37882",3117
6,Aloette,163 Spadina Avenue,French,4.5,279,$$$,3,43.64855831176563,-79.395963,"43.64855831176563,-79.395963",1618
7,Mogouyan Hand-Pulled Noodles,124 Dundas St W,Noodles,4.5,42,,0,43.65573,-79.38449,"43.65573,-79.38449",2459
8,Seven Lives Tacos y Mariscos,72 Kensington Avenue,Mexican,4.5,1458,$,1,43.6544903,-79.4008299,"43.6544903,-79.4008299",2427
9,Holy Cow Japanese Steakhouse,254 Queen Street  W,Steakhouses,4.5,139,$$$,3,43.64993,-79.39145,"43.64993,-79.39145",1811
10,Trattoria Nervosa,75 Yorkville Avenue,Italian,4.0,384,$$,2,43.67101,-79.39104,"43.67101,-79.39104",4663
11,Gusto 101,101 Portland Street,Italian,4.0,1100,$$,2,43.645002131066,-79.400309337027,"43.645002131066,-79.400309337027",1837
12,Byblos,11 Duncan Street,Mediterranean,4.5,890,$$$$,4,43.647546,-79.388123,"43.647546,-79.388123",1320
13,Fieramosca,36A Prince Arthur Avenue,Italian,4.5,110,$$$,3,43.66963,-79.39719,"43.66963,-79.39719",5104
14,Playa Cabana,111 Dupont Street,Mexican,4.0,467,$$,2,43.6759577692695,-79.4011840224266,"43.6759577692695,-79.4011840224266",6057
15,Juicy Dumpling,280 Spadina Ave,Dim Sum,4.5,594,$,1,43.65252,-79.39854,"43.65252,-79.39854",2090
16,The Oxley,121 Yorkville Avenue,Gastropubs,4.0,167,$$,2,43.6707168,-79.393126,"43.6707168,-79.393126",5088
17,The Rabbit Hole,21 Adelaide Street W,Gastropubs,4.0,27,,0,43.64995,-79.37976,"43.64995,-79.37976",1949
