Restaurant Name,Address,Category,Rating,Number of Reviews,Price($),Price(1-5),Latitude,Longitude
The Flying Pig,1168 Hamilton Street,Canadian (New),4.0,1247,$$,2,49.27501,-123.122
Kosoo,1128 Robson Street,Korean,4.5,69,$$,2,49.28494,-123.12592
Fat Mao Noodles,938 Helmcken Street,Noodles,4.5,27,,0,49.2799016,-123.1272458
Miku,200 Granville Street,Japanese,4.5,2107,$$$,3,49.28691753455261,-123.11276314110472
Kingyo,871 Denman Street,Japanese,4.5,1012,$$,2,49.29061,-123.13714
Dinesty Dumpling House,1719 Robson Street,Chinese,4.0,900,$$,2,49.2908176,-123.1343912
Guu with Garlic,1698 Robson Street,Japanese,4.5,1021,$$,2,49.290249,-123.1338142
Saku,1588 Robson Street,Japanese,4.5,307,$$,2,49.289254,-123.1323215264761
Twisted Fork,213 Carral Street,French,4.0,1091,$$,2,49.283194,-123.104445
Seaport City Seafood Restaurant,2425 Cambie Street,Dim Sum,5.0,6,,0,49.263921119674905,-123.115152
Fable Kitchen,1944 W 4th Avenue,Canadian (New),4.5,752,$$,2,49.2679331,-123.149019
Kokoro Tokyo Mazesoba,551 Seymour Street,Japanese,4.0,428,$$,2,49.2833927,-123.115078
Medina Cafe,780 Richards Street,Breakfast & Brunch,4.0,2540,$$,2,49.2804429972571,-123.117036269849
Phnom Penh,244 E Georgia Street,Cambodian,4.0,1535,$$,2,49.278431,-123.098205
Chambar,568 Beatty Street,Belgian,4.0,1520,$$$,3,49.2801460007961,-123.109925328073
Manoush'eh,620 Davie Street,Mediterranean,5.0,222,$,1,49.27667072314417,-123.12570086148997
Happy Noodle House,630 Davie Street,Dim Sum,4.5,60,,0,49.27664,-123.12578
Forage,1300 Robson Street,Canadian (New),4.0,690,$$,2,49.28707,-123.12925
Jingle Bao,774 Denman Street,Asian Fusion,4.0,120,$$,2,49.291609,-123.134917
Fanny Bay Oyster Bar & Shellfish Market,762 Cambie St,Seafood,4.5,696,$$,2,49.2787525,-123.1138689
Hello Nori,1165 Robson Street,Japanese,4.5,156,$$,2,49.2857029,-123.1262438
Jam Cafe on Beatty,556 Beatty Street,Breakfast & Brunch,4.5,1298,$$,2,49.2802586,-123.1096376
Fat Boy Kitchen,6943 Victoria Drive,Hong Kong Style Cafe,4.5,18,,0,49.2209419,-123.0662599
Saku,548 W Broadway,Japanese,4.0,192,$$,2,49.2631251,-123.1166034
Tavola,1829 Robson Street,Italian,4.5,361,$$$,3,49.2918164,-123.1357186
OEB Breakfast Co. Yaletown,1137 Marinaside Crescent,Breakfast & Brunch,4.5,662,$$,2,49.2734341,-123.1192724
Cactus Club Cafe,1085 Canada Place,Canadian (New),4.0,789,$$,2,49.2895176422553,-123.11810777487139
Chef Hung,990 Smithe Street,Taiwanese,4.0,24,,0,49.28199,-123.12424
Chinatown BBQ,130 E Pender Street,Chinese,4.5,235,$$,2,49.280294,-123.1015
Blue Water Cafe,1095 Hamilton St,Seafood,4.5,1034,$$$$,4,49.2761945,-123.1209935
Raisu,2340 W 4th Avenue,Japanese,4.0,404,$$,2,49.2679990419609,-123.158381134272
Shiok Singapore Cuisine,1716 Kingsway,Singaporean,4.0,97,$$,2,49.2469321,-123.0693059
Kishimoto Japanese Kitchen,2054 Commercial Drive,Japanese,4.5,505,$$,2,49.2665099,-123.06935
Lupo,869 Hamilton Street,Italian,4.5,431,$$$,3,49.27823,-123.1174
Alibi Room,157 Alexander Street,Pubs,4.5,563,$$,2,49.284201944511,-123.1001915385
Joe Fortes Seafood & Chop House,777 Thurlow Street,Seafood,4.0,1203,$$$,3,49.28493,-123.12473
Botanist,1038 Canada Place,Canadian (New),4.0,347,$$$,3,49.2883099,-123.1167271
JOEY Burrard,820 Burrard St,Canadian (New),4.0,529,$$,2,49.2827851242953,-123.12316775322
Bread x Butter Cafe,140-925 West Georgia Street,Cafes,4.0,35,,0,49.2841611,-123.1199654
Linh Cafe,1428 Granville Street,Vietnamese,4.0,279,$$,2,49.27465692280362,-123.12954135459871
Zefferelli's,1136 Robson Street,Italian,4.0,472,$$,2,49.28504,-123.1261
Fritz European Fry House,718 Davie Street,Fast Food,4.0,789,$,1,49.2772045,-123.1265253
Marulilu Cafe,451 W Broadway,Cafes,4.0,283,$$,2,49.26338,-123.11415
Uma Sushi,450 W 8th Avenue,Japanese,4.5,109,$$$,3,49.2638048,-123.1137294
Black Rice Izakaya,782 Cambie Street,Japanese,4.0,285,$$,2,49.278444,-123.114329
Ask For Luigi,305 Alexander Street,Italian,4.0,474,$$,2,49.2844485,-123.0976786
Wabukuro,660 Abbott Street,Japanese,4.5,7,,0,49.27916,-123.10704
Ramen Danbo,1333 Robson Street,Ramen,4.5,540,$$,2,49.2874959131639,-123.128934167326
Kamei on Broadway,601 W Broadway,Japanese,4.0,8,,0,49.263643,-123.118152
The Red Accordion,1616 Alberni Street,Cocktail Bars,4.5,59,$$,2,49.29025,-123.131768
Bao Bei Chinese Brasserie,163 Keefer Street,Chinese,4.0,401,$$$,3,49.2796095312486,-123.100574596039
Tendon Kohaku,840 Howe Street,Japanese,4.0,72,$$,2,49.28107123873706,-123.12179426645872
AnnaLena,1809 W 1st Avenue,Canadian (New),4.5,334,$$$$,4,49.2708261,-123.1467714
Cardero's Restaurant & Marine Pub,1583 Coal Harbour Quay,Seafood,4.0,615,$$$,3,49.2914561357511,-123.127575841549
Sula,4172 Main Street,Indian,4.5,82,$$,2,49.2479405,-123.1007241
Anh and Chi,3388 Main Street,Vietnamese,4.0,586,$$,2,49.2550314422938,-123.100882202153
Mumu Kitchen,1738 Davie Street,Korean,4.0,23,,0,49.2865679,-123.1410355
Burgoo Bistro,1100 Burrard Street,Comfort Food,4.0,162,$$,2,49.27968,-123.12763
Alouette Bistro,567 Hornby Street,French,4.0,22,,0,49.2853,-123.11829
Nightingale,1017 West Hastings Street,Live/Raw Food,4.0,451,$$$,3,49.2874110331456,-123.117770967577
Hokkaido Ramen Santouka,558 W Broadway,Noodles,4.0,220,$$,2,49.263127,-123.1168917
Mott 32,1161 W Georgia Street,Chinese,4.0,164,$$$$,4,49.2868644189919,-123.12453512818163
La Taqueria Pinche Taco Shop,2450 Yukon Street,Mexican,4.0,679,$$,2,49.263559,-123.112736
Lunch Lady,1046 Commercial Drive,Vietnamese,4.0,166,$$,2,49.27497,-123.06915
Heritage Asian Eatery,382 W Broadway,Pan Asian,4.0,87,$$,2,49.26287,-123.11247
The Mackenzie Room,415 Powell Street,Canadian (New),4.5,179,$$$$,4,49.2832349,-123.0948578
TAKO,601 Expo Boulevard,Korean,4.0,212,$,1,49.278816,-123.1078822
Unchai Thai Restaurant,2351 Burrard Street,Thai,4.5,79,,0,49.265112,-123.145913
So Hyang Korean Cuisine,6345 Fraser Street,Korean,4.0,317,$$,2,49.2271233,-123.0909348
Pourhouse Restaurant,162 Water Street,Cocktail Bars,4.0,541,$$,2,49.2841134475502,-123.10842879595
Hai Chi Em,6181 Fraser Street,Vietnamese,4.5,2,,0,49.2285,-123.0909
Published On Main,3593 Main Street,Tapas/Small Plates,4.5,80,,0,49.25283186017385,-123.10116032897228
Mount Everest Kitchen & Grill,538 Seymour Street,Indian,4.5,31,,0,49.28343057225757,-123.1142148824853
Fat Mao Noodles,217 E Georgia Street,Asian Fusion,4.0,220,$$,2,49.27881,-123.09893
La Taqueria Pinche Taco Shop,322 W Hastings Street,Mexican,4.5,511,$$,2,49.282912,-123.110593
