,Restaurant Name,Address,Category,Rating,Number of Reviews,Price($),Price(1-5),Latitude,Longitude,coordinates,Distance
0,The Flying Pig,1168 Hamilton Street,Canadian (New),4.0,1247,$$,2,49.27501,-123.122,"49.27501,-123.122",2284.0
1,Kosoo,1128 Robson Street,Korean,4.5,69,$$,2,49.28494,-123.12592,"49.28494,-123.12592",1591.0
2,Fat Mao Noodles,938 Helmcken Street,Noodles,4.5,27,,0,49.2799016,-123.1272458,"49.2799016,-123.1272458",1943.0
3,Miku,200 Granville Street,Japanese,4.5,2107,$$$,3,49.28691753455261,-123.11276314110472,"49.28691753455261,-123.11276314110472",1070.0
4,Kingyo,871 Denman Street,Japanese,4.5,1012,$$,2,49.29061,-123.13714,"49.29061,-123.13714",2544.0
5,Dinesty Dumpling House,1719 Robson Street,Chinese,4.0,900,$$,2,49.2908176,-123.1343912,"49.2908176,-123.1343912",2467.0
6,Guu with Garlic,1698 Robson Street,Japanese,4.5,1021,$$,2,49.290249,-123.1338142,"49.290249,-123.1338142",2541.0
7,Saku,1588 Robson Street,Japanese,4.5,307,$$,2,49.289254,-123.1323215264761,"49.289254,-123.1323215264761",1773.0
8,Twisted Fork,213 Carral Street,French,4.0,1091,$$,2,49.283194,-123.104445,"49.283194,-123.104445",1396.0
9,Seaport City Seafood Restaurant,2425 Cambie Street,Dim Sum,5.0,6,,0,49.263921119674905,-123.115152,"49.263921119674905,-123.115152",5412.0
10,Fable Kitchen,1944 W 4th Avenue,Canadian (New),4.5,752,$$,2,49.2679331,-123.149019,"49.2679331,-123.149019",4434.0
11,Kokoro Tokyo Mazesoba,551 Seymour Street,Japanese,4.0,428,$$,2,49.2833927,-123.115078,"49.2833927,-123.115078",679.0
12,Medina Cafe,780 Richards Street,Breakfast & Brunch,4.0,2540,$$,2,49.2804429972571,-123.117036269849,"49.2804429972571,-123.117036269849",1250.0
13,Phnom Penh,244 E Georgia Street,Cambodian,4.0,1535,$$,2,49.278431,-123.098205,"49.278431,-123.098205",1967.0
14,Chambar,568 Beatty Street,Belgian,4.0,1520,$$$,3,49.2801460007961,-123.109925328073,"49.2801460007961,-123.109925328073",1187.0
15,Manoush'eh,620 Davie Street,Mediterranean,5.0,222,$,1,49.27667072314417,-123.12570086148996,"49.27667072314417,-123.12570086148996",1778.0
16,Happy Noodle House,630 Davie Street,Dim Sum,4.5,60,,0,49.27664,-123.12578,"49.27664,-123.12578",1811.0
17,Forage,1300 Robson Street,Canadian (New),4.0,690,$$,2,49.28707,-123.12925,"49.28707,-123.12925",1754.0
